frame,camera,player_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,confidence,class
9,broadcast,player_06,1755,594,1823,700,1789.5176,647.23083,0.8852905631065369,player
12,broadcast,player_06,1788,597,1834,705,1811.35,651.78613,0.8921198844909668,player
15,broadcast,player_06,1811,595,1861,704,1836.5111,649.65076,0.8471715450286865,player
18,broadcast,player_06,1831,594,1885,699,1858.7207,646.9198,0.8514694571495056,player
21,broadcast,player_06,1857,592,1899,700,1878.2369,646.5311,0.8577672839164734,player
24,broadcast,player_06,1866,587,1920,691,1893.363,639.7717,0.8703104853630066,player
27,broadcast,player_06,1885,588,1920,693,1902.738,641.06866,0.7413243055343628,player
30,broadcast,player_06,1900,582,1920,686,1910.2827,634.60974,0.5841266512870789,player
33,broadcast,player_06,1905,589,1920,686,1912.7874,638.0471,0.6254028081893921,player
6,broadcast,player_07,1644,444,1711,518,1677.9773,481.38452,0.8919366598129272,player
9,broadcast,player_07,1664,452,1699,534,1682.0651,493.2865,0.8992428779602051,player
12,broadcast,player_07,1649,453,1721,532,1685.3335,492.91635,0.8991376161575317,player
15,broadcast,player_07,1663,454,1700,536,1681.9849,495.48834,0.9040474891662598,player
18,broadcast,player_07,1647,452,1716,530,1682.1422,491.69476,0.9000830054283142,player
21,broadcast,player_07,1662,453,1695,534,1679.1244,494.03824,0.8720604181289673,player
24,broadcast,player_07,1638,450,1709,530,1674.1875,490.859,0.9106609225273132,player
27,broadcast,player_07,1640,452,1678,534,1659.3921,493.11703,0.9075490236282349,player
30,broadcast,player_07,1611,449,1681,526,1646.4331,488.03317,0.9181766510009766,player
33,broadcast,player_07,1610,452,1644,531,1627.4817,491.89392,0.9071218967437744,player
36,broadcast,player_07,1578,452,1649,526,1613.8405,489.45056,0.8866475820541382,player
36,broadcast,player_07,1542,450,1575,514,1559.1401,482.71362,0.7526352405548096,player
39,broadcast,player_07,1584,455,1614,533,1599.4106,494.4316,0.8624075651168823,player
39,broadcast,player_07,1535,458,1577,535,1556.7847,497.02408,0.710241436958313,player
42,broadcast,player_07,1506,492,1573,583,1540.3474,537.9979,0.8944845199584961,player
42,broadcast,player_07,1538,465,1583,549,1561.4718,507.41348,0.7218332290649414,player
42,broadcast,player_07,1573,455,1619,521,1596.3171,488.87463,0.4340601861476898,player
42,broadcast,player_07,1571,458,1609,527,1590.8726,492.8146,0.25440239906311035,player
45,broadcast,player_07,1539,468,1598,543,1568.7554,506.0987,0.7821565866470337,player
45,broadcast,player_07,1552,460,1599,540,1576.0887,500.64713,0.6045243144035339,player
48,broadcast,player_07,1513,494,1566,587,1539.9543,540.95703,0.8961642980575562,player
48,broadcast,player_07,1544,458,1600,551,1572.5856,504.9372,0.8809701800346375,player
51,broadcast,player_07,1516,500,1569,581,1542.7438,541.15924,0.8956624865531921,player
51,broadcast,player_07,1543,466,1580,532,1561.9595,499.52502,0.8251075148582458,player
54,broadcast,player_07,1514,502,1551,586,1532.9586,544.61865,0.900789737701416,player
54,broadcast,player_07,1535,467,1581,552,1558.24,509.90878,0.8351143002510071,player
57,broadcast,player_07,1492,501,1565,589,1528.9617,545.5217,0.8935409784317017,player
57,broadcast,player_07,1521,468,1548,516,1535.0533,492.2719,0.6779128909111023,player
57,broadcast,player_07,1517,495,1572,583,1544.9646,539.6182,0.6348028779029846,player
60,broadcast,player_07,1490,505,1544,589,1517.6371,547.44226,0.8491259813308716,player
60,broadcast,player_07,1499,468,1540,528,1519.9663,498.0487,0.8224323987960815,player
60,broadcast,player_07,1533,493,1571,571,1552.73,532.60254,0.607846200466156,player
63,broadcast,player_07,1490,504,1526,594,1508.7054,549.23486,0.7801227569580078,player
63,broadcast,player_07,1519,499,1571,556,1545.5742,528.2701,0.7203709483146667,player
63,broadcast,player_07,1495,501,1558,572,1526.7539,536.8795,0.3904801309108734,player
66,broadcast,player_07,1476,471,1503,529,1490.1292,500.35623,0.8641777634620667,player
66,broadcast,player_07,1510,504,1552,577,1531.6257,541.27026,0.78101646900177,player
66,broadcast,player_07,1462,509,1530,594,1496.4014,551.80444,0.7638786435127258,player
69,broadcast,player_07,1461,515,1520,597,1490.7322,556.56384,0.9108211398124695,player
69,broadcast,player_07,1453,469,1493,547,1473.4187,508.65015,0.8581555485725403,player
72,broadcast,player_07,1453,477,1484,551,1468.7289,514.1934,0.8726168274879456,player
72,broadcast,player_07,1472,536,1508,597,1490.4708,567.1002,0.8126646876335144,player
72,broadcast,player_07,1473,511,1506,589,1489.8242,550.1399,0.7140967845916748,player
75,broadcast,player_07,1472,505,1514,595,1493.3057,550.24286,0.9036516547203064,player
75,broadcast,player_07,1440,474,1479,554,1459.9904,514.22614,0.8934167623519897,player
78,broadcast,player_07,1472,506,1533,593,1502.6957,549.7843,0.9205222725868225,player
81,broadcast,player_07,1508,511,1546,597,1527.5527,554.2949,0.884965181350708,player
84,broadcast,player_07,1539,505,1572,595,1556.0662,550.4181,0.8775699734687805,player
87,broadcast,player_07,1562,508,1621,598,1592.0613,553.4873,0.9048779606819153,player
90,broadcast,player_07,1614,515,1653,599,1634.1042,557.66876,0.8590272665023804,player
93,broadcast,player_07,1655,515,1689,590,1672.8065,553.25226,0.8761922717094421,player
96,broadcast,player_07,1678,518,1725,616,1701.7933,567.7633,0.8930586576461792,player
99,broadcast,player_07,1704,533,1744,622,1724.4792,577.9248,0.8988967537879944,player
102,broadcast,player_07,1723,540,1754,638,1738.7941,589.3581,0.8840659260749817,player
105,broadcast,player_07,1732,539,1779,643,1755.924,591.7628,0.9028258323669434,player
108,broadcast,player_07,1740,545,1798,650,1769.3105,598.2087,0.9205151200294495,player
111,broadcast,player_07,1764,552,1801,656,1783.1598,604.4584,0.8737363219261169,player
111,broadcast,player_07,1724,598,1748,653,1736.8738,625.95593,0.8075706958770752,player
114,broadcast,player_07,1693,540,1737,646,1715.4365,593.5862,0.8910232782363892,player
117,broadcast,player_07,1711,541,1746,651,1728.8899,596.2167,0.8858379125595093,player
120,broadcast,player_07,1718,543,1747,644,1733.1793,593.72974,0.8869971632957458,player
123,broadcast,player_07,1715,544,1751,653,1733.4891,598.6892,0.8755810260772705,player
6,broadcast,player_08,1569,551,1639,660,1604.61,605.9839,0.8801904320716858,player
9,broadcast,player_08,1578,566,1640,664,1609.8087,615.3567,0.8872681856155396,player
12,broadcast,player_08,1596,567,1641,671,1618.7307,619.54486,0.8818403482437134,player
15,broadcast,player_08,1598,560,1672,665,1635.3237,612.9659,0.9142463803291321,player
18,broadcast,player_08,1610,562,1657,667,1633.6611,614.9823,0.8764879107475281,player
21,broadcast,player_08,1618,559,1671,670,1645.1649,614.7895,0.8903836607933044,player
24,broadcast,player_08,1608,557,1696,660,1652.8345,608.9725,0.9249408841133118,player
27,broadcast,player_08,1611,560,1676,663,1643.9084,612.05347,0.8851940631866455,player
30,broadcast,player_08,1605,556,1664,666,1634.937,611.7154,0.9169562458992004,player
33,broadcast,player_08,1589,554,1666,657,1628.0691,606.3358,0.9193946123123169,player
36,broadcast,player_08,1597,595,1631,663,1614.5585,629.6489,0.7937736511230469,player
36,broadcast,player_08,1598,561,1631,638,1615.1027,600.38745,0.7347268462181091,player
39,broadcast,player_08,1585,559,1652,666,1619.168,612.607,0.9101541042327881,player
42,broadcast,player_08,1579,562,1646,661,1613.3016,612.00037,0.9086036682128906,player
45,broadcast,player_08,1577,564,1628,666,1603.1083,615.59607,0.8911592960357666,player
48,broadcast,player_08,1576,561,1646,665,1611.3541,613.85486,0.9136537909507751,player
51,broadcast,player_08,1575,570,1632,671,1604.2175,620.9409,0.891234278678894,player
