frame,camera,player_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,center_x,center_y,confidence,class
15,broadcast,player_05,1663,454,1700,536,1681.9849,495.48834,0.9040474891662598,player
20,broadcast,player_05,1663,452,1693,535,1678.3286,493.90033,0.8629661202430725,player
25,broadcast,player_05,1640,451,1699,532,1669.7545,491.9651,0.8849710822105408,player
30,broadcast,player_05,1611,449,1681,526,1646.4331,488.03317,0.9181766510009766,player
35,broadcast,player_05,1591,451,1650,527,1620.949,489.84412,0.9241563677787781,player
35,broadcast,player_05,1543,452,1573,512,1558.6958,482.75153,0.7324180603027344,player
40,broadcast,player_05,1576,453,1617,534,1597.1774,493.98788,0.8748007416725159,player
40,broadcast,player_05,1517,494,1561,584,1539.5085,539.872,0.8523447513580322,player
40,broadcast,player_05,1544,457,1573,535,1559.0532,496.40576,0.7060708999633789,player
45,broadcast,player_05,1518,491,1565,584,1542.2151,538.2463,0.8883663415908813,player
45,broadcast,player_05,1539,468,1598,543,1568.7554,506.0987,0.7821565866470337,player
45,broadcast,player_05,1552,460,1599,540,1576.0887,500.64713,0.6045243144035339,player
50,broadcast,player_05,1511,497,1570,581,1540.8706,539.3388,0.8882156610488892,player
50,broadcast,player_05,1542,464,1579,533,1561.0271,499.04587,0.8472041487693787,player
55,broadcast,player_05,1510,502,1555,589,1533.0266,545.80426,0.8901655673980713,player
55,broadcast,player_05,1536,494,1579,574,1558.054,534.81165,0.7638871669769287,player
55,broadcast,player_05,1534,467,1555,519,1544.9714,493.18002,0.7456788420677185,player
60,broadcast,player_05,1490,505,1544,589,1517.6371,547.44226,0.8491259813308716,player
60,broadcast,player_05,1499,468,1540,528,1519.9663,498.0487,0.8224323987960815,player
60,broadcast,player_05,1533,493,1571,571,1552.73,532.60254,0.607846200466156,player
65,broadcast,player_05,1482,474,1508,529,1495.4282,502.17883,0.8065398335456848,player
65,broadcast,player_05,1467,506,1531,593,1499.125,550.25806,0.7939172983169556,player
65,broadcast,player_05,1515,502,1560,581,1538.187,542.0315,0.6833191514015198,player
70,broadcast,player_05,1462,515,1518,597,1490.6931,556.3437,0.9110947847366333,player
70,broadcast,player_05,1527,497,1569,568,1548.1608,533.0126,0.9067208766937256,player
75,broadcast,player_05,1472,505,1514,595,1493.3057,550.24286,0.9036516547203064,player
5,broadcast,player_06,1467,417,1515,502,1491.6516,460.1186,0.8898772597312927,player
10,broadcast,player_06,1498,432,1538,518,1518.1431,475.5766,0.8985254168510437,player
15,broadcast,player_06,1511,434,1554,522,1533.2683,478.56775,0.8949605226516724,player
20,broadcast,player_06,1514,438,1573,525,1544.124,482.28467,0.9090190529823303,player
20,broadcast,player_06,1557,488,1620,577,1589.2671,532.95044,0.9053299427032471,player
25,broadcast,player_06,1544,443,1588,527,1566.3622,485.8784,0.8871863484382629,player
25,broadcast,player_06,1561,529,1588,588,1575.2985,558.9108,0.8354368209838867,player
25,broadcast,player_06,1564,493,1597,565,1580.9751,529.64966,0.633721113204956,player
30,broadcast,player_06,1533,490,1598,583,1565.9011,537.0636,0.8842319846153259,player
30,broadcast,player_06,1538,447,1581,513,1560.1201,480.5114,0.8831372261047363,player
35,broadcast,player_06,1521,488,1574,582,1547.8474,535.593,0.8884810209274292,player
5,broadcast,player_07,1730,588,1766,693,1748.6708,641.1283,0.8747620582580566,player
10,broadcast,player_07,1762,593,1830,704,1796.606,649.18066,0.9000545144081116,player
15,broadcast,player_07,1811,595,1861,704,1836.5111,649.65076,0.8471715450286865,player
20,broadcast,player_07,1850,595,1889,702,1870.158,648.8597,0.8445938229560852,player
25,broadcast,player_07,1873,588,1920,694,1896.745,641.61115,0.8159377574920654,player
30,broadcast,player_07,1900,582,1920,686,1910.2827,634.60974,0.5841266512870789,player
5,broadcast,player_08,1551,482,1607,578,1579.1327,530.3639,0.8710201978683472,player
5,broadcast,player_08,1568,556,1625,659,1597.1349,608.218,0.864547610282898,player
10,broadcast,player_08,1586,569,1649,670,1617.9994,619.92303,0.8763678669929504,player
15,broadcast,player_08,1598,560,1672,665,1635.3237,612.9659,0.9142463803291321,player
20,broadcast,player_08,1617,562,1661,660,1639.1951,611.38605,0.8075909614562988,player
25,broadcast,player_08,1608,558,1689,659,1649.1211,609.3027,0.9098557233810425,player
30,broadcast,player_08,1605,556,1664,666,1634.937,611.7154,0.9169562458992004,player
35,broadcast,player_08,1594,559,1642,662,1618.7377,610.97186,0.857235312461853,player
40,broadcast,player_08,1577,559,1657,661,1617.2128,610.26587,0.9192968606948853,player
45,broadcast,player_08,1577,564,1628,666,1603.1083,615.59607,0.8911592960357666,player
50,broadcast,player_08,1572,566,1644,668,1608.8177,617.1336,0.906784176826477,player
55,broadcast,player_08,1571,566,1629,678,1600.5151,622.34973,0.9055690765380859,player
60,broadcast,player_08,1560,573,1623,676,1592.0848,625.04333,0.9011611342430115,player
65,broadcast,player_08,1540,571,1603,674,1571.7744,622.7971,0.9158167839050293,player
70,broadcast,player_08,1534,576,1568,676,1551.7744,626.49243,0.9091380834579468,player
75,broadcast,player_08,1511,573,1578,669,1544.7935,621.4354,0.9103115200996399,player
80,broadcast,player_08,1521,573,1570,673,1545.9729,623.3795,0.8944198489189148,player
85,broadcast,player_08,1558,570,1630,677,1594.5172,623.74493,0.8961672782897949,player
85,broadcast,player_08,1545,508,1586,596,1565.8429,552.17694,0.8895635008811951,player
90,broadcast,player_08,1529,480,1574,554,1551.8884,517.5569,0.6758707165718079,player
95,broadcast,player_08,1595,501,1627,604,1611.3329,553.0662,0.8705740571022034,player
95,broadcast,player_08,1566,492,1603,565,1584.9602,529.0183,0.8111532926559448,player
100,broadcast,player_08,1582,499,1628,584,1605.56,542.04175,0.8927701115608215,player
5,broadcast,player_09,1386,376,1429,449,1408.0062,413.33984,0.7642268538475037,referee
